Year,Unit,Value,
2014,Percent (%),,
2015,Percent (%),1.8,
2016,Percent (%),1.8,
2017,Percent (%),1.9,
2018,Percent (%),1.6,
2019,Percent (%),2,
2020,Percent (%),,
,,,
,,,
,,,
,,,
