Year,Unit,Value,
2014,Number of Projects,29,
2015,Number of Projects,24,
2016,Number of Projects,21,
2017,Number of Projects,17,
2018,Number of Projects,25,
2019,Number of Projects,11,
2020,Number of Projects,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
