Year,Unit,Value
2014,Number of ariline passengers at Cape Town Airport,0
2015,Number of ariline passengers at Cape Town Airport,10090418
2016,Number of ariline passengers at Cape Town Airport,10693063
2017,Number of ariline passengers at Cape Town Airport,10777524
2018,Number of ariline passengers at Cape Town Airport,10979946
2019,Number of ariline passengers at Cape Town Airport,412204
2020,Number of ariline passengers at Cape Town Airport,0
